"Authors","Author full names","Author(s) ID","Title","Year","Link","EID"
"de Brito Guerra T.C.; Nóbrega T.; Morya E.; de M. Martins A.; de Sousa V.A., Jr.","de Brito Guerra, Tarciana C. (57205585610); Nóbrega, Taline (57212504844); Morya, Edgard (6506185708); de M. Martins, Allan (56337603400); de Sousa, Vicente A. (6603844872)","57205585610; 57212504844; 6506185708; 56337603400; 6603844872","Electroencephalography Signal Analysis for Human Activities Classification: A Solution Based on Machine Learning and Motor Imagery","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159258122&doi=10.3390%2fs23094277&partnerID=40&md5=b292349d4842ada79a487656ef6374f4","2-s2.0-85159258122"
"Paiva R.; Santiago R.; Bedregal B.; Rivieccio U.","Paiva, Rui (57203242664); Santiago, Regivan (7006674404); Bedregal, Benjamín (15520790700); Rivieccio, Umberto (26632629800)","57203242664; 7006674404; 15520790700; 26632629800","Inflationary BL-algebras obtained from 2-dimensional general overlap functions","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098884078&doi=10.1016%2fj.fss.2020.12.018&partnerID=40&md5=b943bacbad5cc9c6d543ee0cfc06ca33","2-s2.0-85098884078"
"Diógenes Do Rego I.; de Sousa V.A., Jr.","Diógenes Do Rego, Iago (57354214400); de Sousa, Vicente A. (6603844872)","57354214400; 6603844872","Solution for interference in hotspot scenarios applying Q-learning on FFR-based ICIC techniques","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119951950&doi=10.3390%2fs21237899&partnerID=40&md5=8f961d36283d155972e5759dd66e0c70","2-s2.0-85119951950"
"de Araújo R.P.; de Freitas V.C.G.; de Lima G.F.; Salazar A.O.; Neto A.D.D.; Maitelli A.L.","de Araújo, Renan Pires (57203942030); de Freitas, Victor Carvalho Galvão (57203942635); de Lima, Gustavo Fernandes (57203941246); Salazar, Andrés Ortiz (7102422753); Neto, Adrião Duarte Dória (7102618949); Maitelli, André Laurindo (6602549353)","57203942030; 57203942635; 57203941246; 7102422753; 7102618949; 6602549353","Pipeline inspection gauge’s velocity simulation based on pressure differential using artificial neural networks","2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053682407&doi=10.3390%2fs18093072&partnerID=40&md5=93dce7c1ce171db7b6371b5ac805aac9","2-s2.0-85053682407"
"Furtunato A.F.A.; Georgiou K.; Eder K.; Xavier-De-Souza S.","Furtunato, Alex F. A. (57215310489); Georgiou, Kyriakos (57150810600); Eder, Kerstin (23391989300); Xavier-De-Souza, Samuel (59170006300)","57215310489; 57150810600; 23391989300; 59170006300","When parallel speedups hit the memory wall","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084797354&doi=10.1109%2fACCESS.2020.2990418&partnerID=40&md5=6090d0c53717b63d084d2f74856bf973","2-s2.0-85084797354"
"Santos R.D.V.D., Júnior; Coelho J.V.V.; Cacho N.A.A.; de Araújo D.S.A.","Santos, Ramiro de Vasconcelos dos (57314796300); Coelho, João Vitor Venceslau (57169721900); Cacho, Nelio Alessandro Azevedo (17433450200); de Araújo, Daniel Sabino Amorim (55103744400)","57314796300; 57169721900; 17433450200; 55103744400","A criminal macrocause classification model: An enhancement for violent crime analysis considering an unbalanced dataset","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173048339&doi=10.1016%2fj.eswa.2023.121702&partnerID=40&md5=b83d51febfb073692db90c1269fc6a18","2-s2.0-85173048339"
"Mendes W.R.; Araújo F.M.U.; Dutta R.; Heeren D.M.","Mendes, Willians Ribeiro (7003469946); Araújo, Fábio Meneghetti U. (35316777100); Dutta, Ritaban (7102252875); Heeren, Derek M. (35098602800)","7003469946; 35316777100; 7102252875; 35098602800","Fuzzy control system for variable rate irrigation using remote sensing","2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060315089&doi=10.1016%2fj.eswa.2019.01.043&partnerID=40&md5=8e81131e08df66fd5617ca646f3f3afa","2-s2.0-85060315089"
"de Lima T.A.; Da-Costa Abreu M.C.","de Lima, Thales Aguiar (57314713500); Da-Costa Abreu, Márjory Cristiany (57575434900)","57314713500; 57575434900","Phoneme analysis for multiple languages with fuzzy-based speaker identification","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134650245&doi=10.1049%2fbme2.12078&partnerID=40&md5=09741b090ffa2f9101d172f0147a322d","2-s2.0-85134650245"
"Caleiro C.; Marcelino S.; Rivieccio U.","Caleiro, Carlos (6602228219); Marcelino, Sérgio (56584322100); Rivieccio, Umberto (26632629800)","6602228219; 56584322100; 26632629800","Characterizing finite-valuedness","2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035063945&doi=10.1016%2fj.fss.2017.10.014&partnerID=40&md5=094b14710aee637e6a04d5ef37468fde","2-s2.0-85035063945"
"Lima Filho F.S.D.; Silveira F.A.F.; De Medeiros Brito Junior A.; Vargas-Solar G.; Silveira L.F.","Lima Filho, Francisco Sales De (57216152589); Silveira, Frederico A. F. (57216156011); De Medeiros Brito Junior, Agostinho (57198355339); Vargas-Solar, Genoveva (14632835700); Silveira, Luiz F. (56363591700)","57216152589; 57216156011; 57198355339; 14632835700; 56363591700","Smart Detection: An Online Approach for DoS/DDoS Attack Detection Using Machine Learning","2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078853432&doi=10.1155%2f2019%2f1574749&partnerID=40&md5=f969d70abda8f65782bde153f31515b2","2-s2.0-85078853432"
